    µm         	 V
3.945316e-001	-1.707000e+000
3.935551e-001	-1.707750e+000
3.925785e-001	-1.708500e+000
3.916019e-001	-1.709625e+000
3.906254e-001	-1.711125e+000
3.896488e-001	-1.711875e+000
3.886722e-001	-1.712625e+000
3.876956e-001	-1.713000e+000
3.867191e-001	-1.714125e+000
3.857425e-001	-1.715625e+000
3.847659e-001	-1.715625e+000
3.837894e-001	-1.717125e+000
3.828128e-001	-1.717500e+000
3.818362e-001	-1.718625e+000
3.808597e-001	-1.719375e+000
3.798831e-001	-1.720500e+000
3.789065e-001	-1.721250e+000
3.779300e-001	-1.722000e+000
3.769534e-001	-1.723500e+000
3.759768e-001	-1.723875e+000
3.750002e-001	-1.725000e+000
3.740237e-001	-1.726125e+000
3.730471e-001	-1.727250e+000
3.720705e-001	-1.728000e+000
3.710940e-001	-1.728750e+000
3.701174e-001	-1.730250e+000
3.691408e-001	-1.730250e+000
3.681643e-001	-1.731750e+000
3.671877e-001	-1.732875e+000
3.662111e-001	-1.734000e+000
3.652345e-001	-1.734750e+000
3.642580e-001	-1.735500e+000
3.632814e-001	-1.736625e+000
3.623048e-001	-1.737000e+000
3.613283e-001	-1.738125e+000
3.603517e-001	-1.739250e+000
3.593751e-001	-1.740000e+000
3.583986e-001	-1.740750e+000
3.574220e-001	-1.741875e+000
3.564454e-001	-1.742625e+000
3.554688e-001	-1.743750e+000
3.544923e-001	-1.744875e+000
3.535157e-001	-1.745625e+000
3.525391e-001	-1.746750e+000
3.515626e-001	-1.747500e+000
3.505860e-001	-1.748625e+000
3.496094e-001	-1.749375e+000
3.486329e-001	-1.750125e+000
3.476563e-001	-1.751250e+000
3.466797e-001	-1.752000e+000
3.457031e-001	-1.753125e+000
3.447266e-001	-1.753875e+000
3.437500e-001	-1.753875e+000
3.427734e-001	-1.754625e+000
3.417969e-001	-1.755750e+000
3.408203e-001	-1.756500e+000
3.398437e-001	-1.758000e+000
3.388672e-001	-1.758375e+000
3.378906e-001	-1.759125e+000
3.369140e-001	-1.759875e+000
3.359374e-001	-1.761000e+000
3.349609e-001	-1.762125e+000
3.339843e-001	-1.762875e+000
3.330077e-001	-1.764375e+000
3.320312e-001	-1.764750e+000
3.310546e-001	-1.765500e+000
3.300780e-001	-1.766250e+000
3.291015e-001	-1.767750e+000
3.281249e-001	-1.768500e+000
3.271483e-001	-1.768500e+000
3.261717e-001	-1.769625e+000
3.251952e-001	-1.770375e+000
3.242186e-001	-1.771125e+000
3.232420e-001	-1.772250e+000
3.222655e-001	-1.773375e+000
3.212889e-001	-1.774125e+000
3.203123e-001	-1.774500e+000
3.193358e-001	-1.775250e+000
3.183592e-001	-1.776750e+000
3.173826e-001	-1.777875e+000
3.164060e-001	-1.778625e+000
3.154295e-001	-1.779000e+000
3.144529e-001	-1.780125e+000
3.134763e-001	-1.780875e+000
3.124998e-001	-1.782375e+000
3.115232e-001	-1.783125e+000
3.105466e-001	-1.783500e+000
3.095701e-001	-1.783875e+000
3.085935e-001	-1.785750e+000
3.076169e-001	-1.786875e+000
3.066403e-001	-1.787625e+000
3.056638e-001	-1.788375e+000
3.046872e-001	-1.788750e+000
3.037106e-001	-1.789125e+000
3.027341e-001	-1.791000e+000
3.017575e-001	-1.791750e+000
3.007809e-001	-1.792500e+000
2.998044e-001	-1.792875e+000
2.988278e-001	-1.794375e+000
2.978512e-001	-1.795500e+000
2.968746e-001	-1.796250e+000
2.958981e-001	-1.796625e+000
2.949215e-001	-1.798125e+000
2.939449e-001	-1.798875e+000
2.929684e-001	-1.799625e+000
2.919918e-001	-1.801125e+000
2.910152e-001	-1.802250e+000
2.900387e-001	-1.803000e+000
2.890621e-001	-1.803750e+000
2.880855e-001	-1.804875e+000
2.871089e-001	-1.805250e+000
2.861324e-001	-1.806375e+000
2.851558e-001	-1.807125e+000
2.841792e-001	-1.807500e+000
2.832027e-001	-1.809000e+000
2.822261e-001	-1.809375e+000
2.812495e-001	-1.810125e+000
2.802730e-001	-1.810875e+000
2.792964e-001	-1.812375e+000
2.783198e-001	-1.812750e+000
2.773432e-001	-1.813500e+000
2.763667e-001	-1.815000e+000
2.753901e-001	-1.815000e+000
2.744135e-001	-1.815375e+000
2.734370e-001	-1.816875e+000
2.724604e-001	-1.818375e+000
2.714838e-001	-1.818375e+000
2.705073e-001	-1.819875e+000
2.695307e-001	-1.820250e+000
2.685541e-001	-1.820625e+000
2.675775e-001	-1.821750e+000
2.666010e-001	-1.822125e+000
2.656244e-001	-1.823625e+000
2.646478e-001	-1.824750e+000
2.636713e-001	-1.825500e+000
2.626947e-001	-1.825125e+000
2.617181e-001	-1.825875e+000
2.607416e-001	-1.826625e+000
2.597650e-001	-1.827750e+000
2.587884e-001	-1.828500e+000
2.578118e-001	-1.828875e+000
2.568353e-001	-1.830000e+000
2.558587e-001	-1.830750e+000
2.548821e-001	-1.831500e+000
2.539056e-001	-1.832250e+000
2.529290e-001	-1.833000e+000
2.519524e-001	-1.833750e+000
2.509759e-001	-1.834125e+000
2.499993e-001	-1.834875e+000
2.490227e-001	-1.836000e+000
2.480461e-001	-1.837125e+000
2.470696e-001	-1.837500e+000
2.460930e-001	-1.837500e+000
2.451164e-001	-1.838250e+000
2.441399e-001	-1.838625e+000
2.431633e-001	-1.840125e+000
2.421867e-001	-1.840500e+000
2.412102e-001	-1.840875e+000
2.402336e-001	-1.841625e+000
2.392570e-001	-1.842375e+000
2.382805e-001	-1.843125e+000
2.373039e-001	-1.843500e+000
2.363274e-001	-1.844250e+000
2.353508e-001	-1.845000e+000
2.343742e-001	-1.845375e+000
2.333977e-001	-1.845375e+000
2.324211e-001	-1.845375e+000
2.314446e-001	-1.845375e+000
2.304680e-001	-1.846125e+000
2.294915e-001	-1.846125e+000
2.285149e-001	-1.845375e+000
2.275384e-001	-1.845750e+000
2.265618e-001	-1.845375e+000
2.255852e-001	-1.844250e+000
2.246087e-001	-1.841250e+000
2.236321e-001	-1.840125e+000
2.226556e-001	-1.838250e+000
2.216790e-001	-1.836375e+000
2.207025e-001	-1.832625e+000
2.197259e-001	-1.827750e+000
2.187493e-001	-1.821375e+000
2.177728e-001	-1.818375e+000
2.167962e-001	-1.816875e+000
2.158197e-001	-1.807875e+000
2.148431e-001	-1.798875e+000
2.138666e-001	-1.797000e+000
2.128900e-001	-1.794750e+000
2.119135e-001	-1.791000e+000
2.109369e-001	-1.788750e+000
2.099603e-001	-1.785750e+000
2.089838e-001	-1.782000e+000
2.080072e-001	-1.777500e+000
2.070307e-001	-1.773375e+000
2.060541e-001	-1.771875e+000
2.050776e-001	-1.769625e+000
2.041010e-001	-1.768125e+000
2.031245e-001	-1.767000e+000
2.021479e-001	-1.763625e+000
2.011713e-001	-1.762500e+000
2.001948e-001	-1.762125e+000
